date,ticker,suspension_status
2002-06-28,022780,거래정지
2002-06-28,032600,거래정지
2002-06-28,045920,거래정지
2002-07-31,003550,거래정지
2002-07-31,007700,거래정지
2002-07-31,020120,거래정지
2002-07-31,000040,거래정지
2002-07-31,000110,거래정지
2002-07-31,000470,거래정지
2002-07-31,002860,거래정지
2002-07-31,004230,거래정지
2002-07-31,005770,거래정지
2002-07-31,006610,거래정지
2002-07-31,009330,거래정지
2002-07-31,013250,거래정지
2002-07-31,032600,거래정지
2002-08-30,000040,거래정지
2002-08-30,000110,거래정지
2002-08-30,002860,거래정지
2002-08-30,005770,거래정지
2002-08-30,006610,거래정지
2002-08-30,009330,거래정지
2002-08-30,013250,거래정지
2002-08-30,024080,거래정지
2002-08-30,032600,거래정지
2002-08-30,042470,거래정지
2002-09-30,003090,거래정지
2002-09-30,025860,거래정지
2002-09-30,008350,거래정지
2002-09-30,011320,거래정지
2002-09-30,000040,거래정지
2002-09-30,043220,거래정지
2002-09-30,000110,거래정지
2002-09-30,002860,거래정지
2002-09-30,004010,거래정지
2002-09-30,004190,거래정지
2002-09-30,005770,거래정지
2002-09-30,006610,거래정지
2002-09-30,021740,거래정지
2002-09-30,025450,거래정지
2002-09-30,032150,거래정지
2002-09-30,032600,거래정지
2002-09-30,042470,거래정지
2002-10-31,005440,거래정지
2002-10-31,003090,거래정지
2002-10-31,005610,거래정지
2002-10-31,008350,거래정지
2002-10-31,014160,거래정지
2002-10-31,043220,거래정지
2002-10-31,000110,거래정지
2002-10-31,002860,거래정지
2002-10-31,003900,거래정지
2002-10-31,004190,거래정지
2002-10-31,005770,거래정지
2002-10-31,006610,거래정지
2002-10-31,008900,거래정지
2002-10-31,014040,거래정지
2002-10-31,019430,거래정지
2002-10-31,032600,거래정지
2002-10-31,033040,거래정지
2002-10-31,049790,거래정지
2002-11-29,014160,거래정지
2002-11-29,021880,거래정지
2002-11-29,021040,거래정지
2002-11-29,043220,거래정지
2002-11-29,000110,거래정지
2002-11-29,002860,거래정지
2002-11-29,004190,거래정지
2002-11-29,005770,거래정지
2002-11-29,006610,거래정지
2002-11-29,007360,거래정지
2002-11-29,031950,거래정지
2002-11-29,031970,거래정지
2002-11-29,032600,거래정지
2002-12-30,006040,거래정지
2002-12-30,020560,거래정지
2002-12-30,002220,거래정지
2002-12-30,001020,거래정지
2002-12-30,011370,거래정지
2002-12-30,013360,거래정지
2002-12-30,042940,거래정지
2002-12-30,000110,거래정지
2002-12-30,004190,거래정지
2002-12-30,005770,거래정지
2002-12-30,006610,거래정지
2002-12-30,008320,거래정지
2002-12-30,008670,거래정지
2002-12-30,009790,거래정지
2002-12-30,017050,거래정지
2002-12-30,023460,거래정지
2002-12-30,025690,거래정지
2002-12-30,032050,거래정지
2002-12-30,032600,거래정지
2002-12-30,036920,거래정지
2003-01-30,002220,거래정지
2003-01-30,012170,거래정지
2003-01-30,000110,거래정지
