test,date,bucket,rank_ic_12m,mean_next_12m,n
attention_vs_momentum_ic,2005-03-31,2,0.28484848484848485,0.4058778610531121,10
attention_vs_momentum_ic,2005-03-31,3,0.7696969696969697,0.3671174041012801,10
attention_vs_momentum_ic,2005-05-31,1,0.034965034965034975,0.9323670900347398,12
attention_vs_momentum_ic,2005-05-31,2,0.3454545454545455,0.5753633316397541,11
attention_vs_momentum_ic,2005-05-31,3,0.5272727272727273,0.34238321235012303,11
attention_vs_momentum_ic,2005-06-30,1,-0.34545454545454546,0.7180529005986738,10
attention_vs_momentum_ic,2005-06-30,2,-0.13333333333333333,0.597263454948931,9
attention_vs_momentum_ic,2005-06-30,3,0.6484848484848483,0.21496144506945808,10
attention_vs_momentum_ic,2005-08-31,1,0.15384615384615385,0.7961083417882788,12
attention_vs_momentum_ic,2005-08-31,2,0.5363636363636364,0.3164781184672457,11
attention_vs_momentum_ic,2005-08-31,3,0.6818181818181819,0.24630639175204125,11
attention_vs_momentum_ic,2005-09-30,1,-0.20979020979020982,0.6699663537950133,12
attention_vs_momentum_ic,2005-09-30,2,0.07272727272727274,0.23727328150684776,11
attention_vs_momentum_ic,2005-09-30,3,0.8000000000000002,0.10060634724063626,11
attention_vs_momentum_ic,2005-10-31,1,0.06363636363636364,0.6369623469302111,11
attention_vs_momentum_ic,2005-10-31,2,0.5363636363636364,0.37650653757073305,11
attention_vs_momentum_ic,2005-10-31,3,0.3545454545454546,0.1912246126394904,11
attention_vs_momentum_ic,2005-11-30,1,-0.009090909090909092,0.37647768962875844,11
attention_vs_momentum_ic,2005-11-30,2,0.045454545454545456,0.31424725079937976,11
attention_vs_momentum_ic,2005-11-30,3,0.13636363636363638,0.08301646615274488,11
attention_vs_momentum_ic,2006-01-31,1,-0.09090909090909091,0.12146875165715217,11
attention_vs_momentum_ic,2006-01-31,2,-0.09090909090909088,0.0690334338716187,10
attention_vs_momentum_ic,2006-01-31,3,-0.406060606060606,0.06914192559804894,10
attention_vs_momentum_ic,2006-02-28,1,0.27272727272727276,0.05793194293225557,11
attention_vs_momentum_ic,2006-02-28,2,-0.5393939393939393,0.2517099611569676,10
attention_vs_momentum_ic,2006-02-28,3,0.38181818181818183,0.021510882906225846,10
