key,signal,universe_pct,holdings,aum_krw,cost_multiplier,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
momentum_6m|p0.3|n30|a100000000|c1.0,momentum_6m,0.30000000000000004,30,100000000.0,1.0,310,-0.29380480489258676,-0.9999059351122707,-3.6705845636636893,0.0002419963896782562,0.9999999999999998,False
momentum_6m|p0.3|n30|a100000000|c1.5,momentum_6m,0.30000000000000004,30,100000000.0,1.5,310,-0.2945026566454868,-0.9999082174736394,-3.6835567244897,0.0002300020716501372,0.9999999999999998,False
momentum_6m|p0.3|n30|a100000000|c2.0,momentum_6m,0.30000000000000004,30,100000000.0,2.0,310,-0.29519988128389196,-0.9999104446559952,-3.696528939500269,0.0002185673544334854,0.9999999999999998,False
momentum_6m|p0.3|n30|a1000000000|c0.5,momentum_6m,0.30000000000000004,30,1000000000.0,0.5,310,-0.2946158432411363,-0.9999085826108038,-3.685661821547489,0.00022810908640957805,1.0000000000000002,False
momentum_6m|p0.3|n30|a1000000000|c1.0,momentum_6m,0.30000000000000004,30,1000000000.0,1.0,310,-0.2968181981514685,-0.9999154159948198,-3.72668377147223,0.00019401562686294227,1.0000000000000002,False
momentum_6m|p0.3|n30|a1000000000|c1.5,momentum_6m,0.30000000000000004,30,1000000000.0,1.5,310,-0.2990142987989536,-0.9999217403328051,-3.7677062105989667,0.00016475443324992511,1.0000000000000002,False
momentum_6m|p0.3|n30|a1000000000|c2.0,momentum_6m,0.30000000000000004,30,1000000000.0,2.0,310,-0.30120416120659266,-0.999927593415676,-3.8087290888450487,0.0001396828955297913,1.0000000000000002,False
momentum_6m|p0.3|n30|a10000000000|c0.5,momentum_6m,0.30000000000000004,30,10000000000.0,0.5,310,-0.2865015035837798,-0.9998764068532355,-4.221581939927145,2.4259373534896156e-05,0.8999151060541934,False
momentum_6m|p0.3|n30|a10000000000|c1.0,momentum_6m,0.30000000000000004,30,10000000000.0,1.0,310,-0.29165716463037206,-0.9998966788510013,-4.328840501553219,1.4989643999374636e-05,0.8999151060541934,False
momentum_6m|p0.3|n30|a10000000000|c1.5,momentum_6m,0.30000000000000004,30,10000000000.0,1.5,310,-0.2967787356897039,-0.999913635465651,-4.436096852694555,9.160464585988848e-06,0.8999151060541934,False
momentum_6m|p0.3|n30|a10000000000|c2.0,momentum_6m,0.30000000000000004,30,10000000000.0,2.0,310,-0.30186642131571895,-0.999927817328161,-4.543350790343212,5.536700020902785e-06,0.8999151060541934,False
momentum_6m|p0.3|n50|a100000000|c0.5,momentum_6m,0.30000000000000004,50,100000000.0,0.5,310,-0.2155786144786922,-0.9986120376231941,-2.673789934016091,0.007499941442496105,1.0,False
momentum_6m|p0.3|n50|a100000000|c1.0,momentum_6m,0.30000000000000004,50,100000000.0,1.0,310,-0.21619601402491484,-0.9986388890506271,-2.6852126993926047,0.007248366180625521,1.0,False
momentum_6m|p0.3|n50|a100000000|c1.5,momentum_6m,0.30000000000000004,50,100000000.0,1.5,310,-0.21681297127950994,-0.998665222876885,-2.6966355681417866,0.007004387978245319,1.0,False
momentum_6m|p0.3|n50|a100000000|c2.0,momentum_6m,0.30000000000000004,50,100000000.0,2.0,310,-0.21742948652850558,-0.9986910490435674,-2.7080585392751675,0.0067678083766984365,1.0,False
momentum_6m|p0.3|n50|a1000000000|c0.5,momentum_6m,0.30000000000000004,50,1000000000.0,0.5,310,-0.21691304796796607,-0.998669448134251,-2.6984892542362755,0.006965498665194136,1.0,False
momentum_6m|p0.3|n50|a1000000000|c1.0,momentum_6m,0.30000000000000004,50,1000000000.0,1.0,310,-0.21886090398805325,-0.9987491757437277,-2.734612257709207,0.006245379568876608,1.0,False
momentum_6m|p0.3|n50|a1000000000|c1.5,momentum_6m,0.30000000000000004,50,1000000000.0,1.5,310,-0.22080434944819272,-0.9988241424566934,-2.7707362521560994,0.005592970983782308,1.0,False
momentum_6m|p0.3|n50|a1000000000|c2.0,momentum_6m,0.30000000000000004,50,1000000000.0,2.0,310,-0.2227433933651639,-0.9988946315862938,-2.806861206306413,0.005002679119957332,1.0,False
