date,ticker
2013-11-29,064090
2013-11-29,044180
2013-11-29,019660
2013-11-29,039850
2013-11-29,091440
2013-11-29,042940
2013-11-29,060260
2013-11-29,056340
2013-11-29,005450
2013-11-29,025620
2013-11-29,043580
2013-11-29,182360
2013-11-29,054410
2013-11-29,024940
2013-11-29,069920
2013-11-29,066110
2013-11-29,104120
2013-11-29,026910
2013-11-29,009810
2013-11-29,134060
2013-11-29,007630
2013-11-29,053950
2013-11-29,079810
2013-11-29,063440
2013-11-29,031860
2013-11-29,010670
2013-11-29,005110
2013-11-29,060540
2013-12-30,078940
2013-12-30,110310
2013-12-30,026260
2013-12-30,043220
2013-12-30,053870
2013-12-30,044180
2013-12-30,060240
2013-12-30,019570
2013-12-30,023770
2013-12-30,005320
2013-12-30,074610
2013-12-30,054300
2013-12-30,066430
2013-12-30,038340
2013-12-30,078590
2013-12-30,013720
2013-12-30,045340
2013-12-30,056340
2013-12-30,010670
2013-12-30,001140
2013-12-30,101140
2013-12-30,019660
2013-12-30,064090
2013-12-30,051160
2013-12-30,080440
2013-12-30,035290
2013-12-30,042940
2013-12-30,060260
2013-12-30,043580
2013-12-30,104120
2013-12-30,091440
2013-12-30,063440
2013-12-30,049720
2013-12-30,054410
2013-12-30,009810
2013-12-30,039670
2013-12-30,005450
2013-12-30,025620
2013-12-30,028040
2013-12-30,184230
2013-12-30,032800
2013-12-30,134060
2013-12-30,027970
2013-12-30,054630
2013-12-30,058370
2013-12-30,005110
2013-12-30,109820
2013-12-30,021880
2013-12-30,031860
2013-12-30,004920
2014-01-29,078940
2014-01-29,110310
2014-01-29,053870
2014-01-29,043220
2014-01-29,019570
2014-01-29,044180
2014-01-29,005320
2014-01-29,060240
2014-01-29,023770
2014-01-29,074610
2014-01-29,066430
2014-01-29,109070
2014-01-29,054300
2014-01-29,026260
2014-01-29,025620
2014-01-29,056340
2014-01-29,101140
2014-01-29,039850
2014-01-29,051160
2014-01-29,045340
2014-01-29,078590
2014-01-29,038340
