test,date,bucket,mean_return,n
price_level_vs_future_1m,2001-08-31 00:00:00,2,-0.1606542623616476,254
price_level_vs_future_1m,2001-08-31 00:00:00,3,-0.13220122309797655,255
price_level_vs_future_1m,2001-08-31 00:00:00,4,-0.13704334551611733,254
price_level_vs_future_1m,2001-08-31 00:00:00,5,-0.1564153566331565,255
price_level_vs_future_1m,2001-09-28 00:00:00,1,0.21848260283957271,256
price_level_vs_future_1m,2001-09-28 00:00:00,2,0.2219065085707005,256
price_level_vs_future_1m,2001-09-28 00:00:00,3,0.17845702120981274,255
price_level_vs_future_1m,2001-09-28 00:00:00,4,0.1776285312117979,256
price_level_vs_future_1m,2001-09-28 00:00:00,5,0.24002208584253856,256
price_level_vs_future_1m,2001-10-31 00:00:00,1,0.09985747138749501,258
price_level_vs_future_1m,2001-10-31 00:00:00,2,0.09050017014279288,258
price_level_vs_future_1m,2001-10-31 00:00:00,3,0.08566299362203372,257
price_level_vs_future_1m,2001-10-31 00:00:00,4,0.09540150565884324,258
price_level_vs_future_1m,2001-10-31 00:00:00,5,0.06887061670382154,258
price_level_vs_future_1m,2001-11-30 00:00:00,1,-0.01074654548059486,262
price_level_vs_future_1m,2001-11-30 00:00:00,2,-0.0009095545871241451,261
price_level_vs_future_1m,2001-11-30 00:00:00,3,0.004485950114668212,263
price_level_vs_future_1m,2001-11-30 00:00:00,4,0.008376102309897913,260
price_level_vs_future_1m,2001-11-30 00:00:00,5,-0.04707397664230179,262
price_level_vs_future_1m,2001-12-28 00:00:00,1,0.13044946220671727,267
price_level_vs_future_1m,2001-12-28 00:00:00,2,0.1530863969722394,267
price_level_vs_future_1m,2001-12-28 00:00:00,3,0.15066000613487507,266
price_level_vs_future_1m,2001-12-28 00:00:00,4,0.08838358570376048,267
price_level_vs_future_1m,2001-12-28 00:00:00,5,0.07809250623671816,267
price_level_vs_future_1m,2002-01-31 00:00:00,1,0.034461680084222075,274
price_level_vs_future_1m,2002-01-31 00:00:00,2,0.013115100005163602,275
price_level_vs_future_1m,2002-01-31 00:00:00,3,0.03987517901610049,273
