signal,universe_pct,aum_krw,months,ideal_cagr,realised_cagr,mean_executed_fraction,mean_effective_n,mean_one_way_cost
reversal_1m,0.4000000000000001,100000000,311,-0.15329603002632497,-0.17599827360227838,0.9999999999999997,30.00000000000001,0.0011076396705682406
reversal_1m,0.4000000000000001,1000000000,311,-0.15329603002632497,-0.18098963311497052,0.9994254781791305,29.997554808831673,0.00133960790270694
reversal_1m,0.4000000000000001,10000000000,311,-0.15329603002632497,-0.15957996107336125,0.7839640694437183,27.57179400430957,0.0017099984159045724
reversal_1m,0.4000000000000001,100000000000,311,-0.15329603002632497,-0.09496828283338765,0.3296430679496117,17.679876282013968,0.0018871589825070114
reversal_1m,0.5000000000000001,100000000,311,-0.14914706775863473,-0.17238606214956964,0.9999999999999997,30.00000000000001,0.001129476407185515
reversal_1m,0.5000000000000001,1000000000,311,-0.14914706775863473,-0.17758479269125205,0.9924287759526108,29.945090319368383,0.001397890742673632
reversal_1m,0.5000000000000001,10000000000,311,-0.14914706775863473,-0.14285602489895988,0.7167118969677284,26.147837305304108,0.0017164861279126288
reversal_1m,0.5000000000000001,100000000000,311,-0.14914706775863473,-0.08471982242808507,0.29833180867512443,16.30183525489403,0.0018854743169803
reversal_1m,0.6000000000000001,100000000,311,-0.1422261027924948,-0.16608727194525863,0.9999999999999997,30.00000000000001,0.0011507716599616585
reversal_1m,0.6000000000000001,1000000000,311,-0.1422261027924948,-0.1728863180063971,0.9745601665021362,29.775855275361383,0.0014352361095143762
reversal_1m,0.6000000000000001,10000000000,311,-0.1422261027924948,-0.1394945023844817,0.6699919149035454,24.9629689997824,0.0017167736716768365
reversal_1m,0.6000000000000001,100000000000,311,-0.1422261027924948,-0.08340965927045851,0.279623039142982,15.296006115055658,0.0018818814460247661
reversal_1m,0.7000000000000002,100000000,311,-0.11242113687462862,-0.13754737340969847,0.9996378737333482,29.998014159999453,0.0011718830078329225
reversal_1m,0.7000000000000002,1000000000,311,-0.11242113687462862,-0.15418913519671607,0.9491048962059564,29.443287533302925,0.0014527914970576229
reversal_1m,0.7000000000000002,10000000000,311,-0.11242113687462862,-0.13203247605877944,0.6385306387620042,24.036936938177135,0.0017161547535806455
reversal_1m,0.7000000000000002,100000000000,311,-0.11242113687462862,-0.0854595117831416,0.26739849895791756,14.673534875577394,0.0018816524478571376
reversal_1m,0.8000000000000003,100000000,311,-0.06366007986062083,-0.09628837572740478,0.9983604992220944,29.987121110865917,0.0011915689547723058
reversal_1m,0.8000000000000003,1000000000,311,-0.06366007986062083,-0.13884263927164364,0.9254117578688333,29.016164818633502,0.0014581241109372024
reversal_1m,0.8000000000000003,10000000000,311,-0.06366007986062083,-0.12241404442159076,0.6191197792287743,23.382818692770385,0.0017157930340758528
reversal_1m,0.8000000000000003,100000000000,311,-0.06366007986062083,-0.07966122892851024,0.2594688712556145,14.251168095235965,0.0018818446169260308
reversal_1m,0.9000000000000001,100000000,311,-0.05506564646172174,-0.08959805914283647,0.992475130679375,29.917223342360654,0.001203707993260227
reversal_1m,0.9000000000000001,1000000000,311,-0.05506564646172174,-0.13202579627020816,0.9083474565115528,28.614907079476044,0.0014598882447856083
reversal_1m,0.9000000000000001,10000000000,311,-0.05506564646172174,-0.11666866932017828,0.6066965321049801,22.942256773643475,0.0017158565196989286
reversal_1m,0.9000000000000001,100000000000,311,-0.05506564646172174,-0.07671784729536413,0.25428250534339714,13.974456757575453,0.0018824022011837552
reversal_1m,1.0000000000000002,100000000,311,-0.007049895812285323,-0.08477054017901153,0.9664968201132561,29.2617216550028,0.001207061662208289
reversal_1m,1.0000000000000002,1000000000,311,-0.007049895812285323,-0.13039111201777653,0.8814717061090368,27.807412155669464,0.0014590736208930915
reversal_1m,1.0000000000000002,10000000000,311,-0.007049895812285323,-0.11499727652121283,0.5893267273951249,22.27949125095816,0.0017158976012863893
reversal_1m,1.0000000000000002,100000000000,311,-0.007049895812285323,-0.07764751689493854,0.2471292739027045,13.59013642205872,0.0018826869323305068
