signal,universe_pct,holdings,aum_krw,cost_multiplier,participation,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
reversal_1m,0.2,30,1000000000.0,2.0,0.1,310,-0.16175697754969365,-0.9907583432105614,-1.146295277628543,0.2516729962363291,1.0000000000000002,False
reversal_1m,0.2,30,10000000000.0,0.5,0.025,310,-0.15853342145458627,-0.9889068082441995,-1.4784410952770008,0.13928975264131038,0.8830614406885505,False
reversal_1m,0.2,30,10000000000.0,1.0,0.025,310,-0.16320416130841542,-0.99027979314661,-1.5543875410559738,0.12009200329135528,0.8830614406885505,False
reversal_1m,0.2,30,10000000000.0,1.5,0.025,310,-0.16785118518994702,-0.9914833807251406,-1.6303367711449768,0.10303034004608635,0.8830614406885505,False
reversal_1m,0.2,30,10000000000.0,2.0,0.025,310,-0.17247460234074063,-0.9925384050224593,-1.7062887004685074,0.08795434085557385,0.8830614406885505,False
reversal_1m,0.2,30,10000000000.0,0.5,0.05,310,-0.16138357666274927,-0.9902571885955771,-1.2054701785672137,0.22802184368356726,0.981448296014199,False
reversal_1m,0.2,30,10000000000.0,1.0,0.05,310,-0.16742207662540765,-0.9917872703536471,-1.29455745195636,0.19547293811000355,0.981448296014199,False
reversal_1m,0.2,30,10000000000.0,1.5,0.05,310,-0.17342086727698292,-0.993077797555909,-1.3836588688871172,0.16646293347814534,0.981448296014199,False
reversal_1m,0.2,30,10000000000.0,2.0,0.05,310,-0.1793801851131488,-0.9941661595898071,-1.4727741675174495,0.1408119400902288,0.981448296014199,False
reversal_1m,0.2,30,10000000000.0,0.5,0.1,310,-0.16020323066176223,-0.9903488562333613,-1.1243439150061199,0.2608671550566022,0.9998923212421661,False
reversal_1m,0.2,30,10000000000.0,1.0,0.1,310,-0.16659206564804807,-0.9919414932636569,-1.2164747773379239,0.22380411361318409,0.9998923212421661,False
reversal_1m,0.2,30,10000000000.0,1.5,0.1,310,-0.17293657403703966,-0.9932721265910164,-1.308629084367515,0.19066002401566706,0.9998923212421661,False
reversal_1m,0.2,30,10000000000.0,2.0,0.1,310,-0.17923703397936097,-0.9943837242302468,-1.4008064223908299,0.16127196759924356,0.9998923212421661,False
reversal_1m,0.2,50,100000000.0,0.5,0.025,310,-0.13445894292266447,-0.9821919379522329,-0.9304667349510054,0.3521294797403949,1.0,False
reversal_1m,0.2,50,100000000.0,1.0,0.025,310,-0.1349785823254036,-0.9824404279534741,-0.9381698761458822,0.348157116555627,1.0,False
reversal_1m,0.2,50,100000000.0,1.5,0.025,310,-0.13549793721576175,-0.9826854633778971,-0.9458731803185199,0.34421327430247217,1.0,False
reversal_1m,0.2,50,100000000.0,2.0,0.025,310,-0.13601700773462078,-0.9829270920740679,-0.9535766472496408,0.3402979812618758,1.0,False
reversal_1m,0.2,50,100000000.0,0.5,0.05,310,-0.13445894292266447,-0.9821919379522329,-0.9304667349510054,0.3521294797403949,1.0,False
reversal_1m,0.2,50,100000000.0,1.0,0.05,310,-0.1349785823254036,-0.9824404279534741,-0.9381698761458822,0.348157116555627,1.0,False
reversal_1m,0.2,50,100000000.0,1.5,0.05,310,-0.13549793721576175,-0.9826854633778971,-0.9458731803185199,0.34421327430247217,1.0,False
reversal_1m,0.2,50,100000000.0,2.0,0.05,310,-0.13601700773462078,-0.9829270920740679,-0.9535766472496408,0.3402979812618758,1.0,False
