date,turnover_bucket,signal,rank_ic_12m,n
2010-03-31,2,ret_1m,0.12677980934539274,318
2010-03-31,2,ret_6m,0.07910094170764205,318
2010-03-31,3,ret_1m,0.1631749219119348,319
2010-03-31,3,ret_6m,0.15577591343229882,319
2010-03-31,4,ret_1m,0.16534090320946163,318
2010-03-31,4,ret_6m,0.20560468310770097,318
2010-03-31,5,ret_1m,0.1382467321227894,319
2010-03-31,5,ret_6m,-0.010731317901915479,319
2010-04-30,1,ret_1m,0.06629955071131394,316
2010-04-30,1,ret_6m,0.25563274561360855,316
2010-04-30,2,ret_1m,0.08218098138686705,316
2010-04-30,2,ret_6m,0.023940738092737703,316
2010-04-30,3,ret_1m,0.06613767227754425,315
2010-04-30,3,ret_6m,0.1357500174209063,315
2010-04-30,4,ret_1m,0.12560190537092603,316
2010-04-30,4,ret_6m,0.11963123223531258,316
2010-04-30,5,ret_1m,0.1899954744423498,316
2010-04-30,5,ret_6m,0.01889854392336085,316
2010-05-31,1,ret_1m,0.10867775091472505,316
2010-05-31,1,ret_6m,0.27486293057988687,316
2010-05-31,2,ret_1m,0.0745369747543713,316
2010-05-31,2,ret_6m,-0.0014879171147452277,316
2010-05-31,3,ret_1m,0.08373536607383453,315
2010-05-31,3,ret_6m,0.08346582181186037,315
2010-05-31,4,ret_1m,0.17278018432680567,316
2010-05-31,4,ret_6m,0.13462617009469205,316
2010-05-31,5,ret_1m,-0.0582137826000028,316
2010-05-31,5,ret_6m,-0.05674031682081293,316
2010-06-30,1,ret_1m,0.09081226825435453,318
2010-06-30,1,ret_6m,0.16351327246716632,318
2010-06-30,2,ret_1m,0.09597917541739123,317
2010-06-30,2,ret_6m,0.1151359393104186,317
2010-06-30,3,ret_1m,0.090786873756418,317
2010-06-30,3,ret_6m,0.11350159113148059,317
2010-06-30,4,ret_1m,0.17213297012193898,317
2010-06-30,4,ret_6m,0.14479192859826923,317
2010-06-30,5,ret_1m,-0.025495772379450197,318
2010-06-30,5,ret_6m,0.013739480514900794,318
2010-07-30,1,ret_1m,0.0319990713800677,319
2010-07-30,1,ret_6m,0.10125998759518791,319
2010-07-30,2,ret_1m,0.046602459285763884,319
2010-07-30,2,ret_6m,0.18012402039909883,319
2010-07-30,3,ret_1m,0.15529362402933675,319
2010-07-30,3,ret_6m,0.2377868634293488,319
2010-07-30,4,ret_1m,0.008146999771273745,319
2010-07-30,4,ret_6m,0.12451135390856127,319
2010-07-30,5,ret_1m,-0.008979831744835621,319
2010-07-30,5,ret_6m,0.1654850954380123,319
2010-08-31,1,ret_1m,-0.03059316366717636,321
2010-08-31,1,ret_6m,0.05283770349046317,321
2010-08-31,2,ret_1m,0.03913406707496962,320
2010-08-31,2,ret_6m,0.16345070784236623,320
2010-08-31,3,ret_1m,0.045285803485345826,320
2010-08-31,3,ret_6m,0.20447591122885658,320
2010-08-31,4,ret_1m,0.1261935162074672,320
