date,rule,monthly_return,observed_holdings
2006-08-31,stop_20,0.15928162740117316,50
2006-08-31,stop_30,0.15928162740117316,50
2006-09-29,hold,0.04608883327660267,50
2006-09-29,stop_10,-0.012863828082687665,50
2006-09-29,stop_20,0.049400291747299284,50
2006-09-29,stop_30,0.052899661003093026,50
2006-10-31,hold,0.0779481216837491,50
2006-10-31,stop_10,0.08970529754330206,50
2006-10-31,stop_20,0.0796706423764501,50
2006-10-31,stop_30,0.08200538673065949,50
2006-11-30,hold,-0.056324159570322385,50
2006-11-30,stop_10,-0.08104009640013138,50
2006-11-30,stop_20,-0.05904629475244638,50
2006-11-30,stop_30,-0.054518248763930494,50
2006-12-28,hold,0.057338995114354564,50
2006-12-28,stop_10,0.0560782883459963,50
2006-12-28,stop_20,0.05141953149072286,50
2006-12-28,stop_30,0.05732022119813113,50
2007-01-31,hold,0.055295980986731885,50
2007-01-31,stop_10,0.03268385595683857,50
2007-01-31,stop_20,0.05376497803762052,50
2007-01-31,stop_30,0.05454757641443653,50
2007-02-28,hold,0.26421327952892765,50
2007-02-28,stop_10,0.21602319111323226,50
2007-02-28,stop_20,0.24833290212775722,50
2007-02-28,stop_30,0.2586550356796042,50
2007-03-30,hold,0.0366061047508474,48
2007-03-30,stop_10,0.04144722979617653,48
2007-03-30,stop_20,0.03707559428639005,48
2007-03-30,stop_30,0.03501613840136795,48
2007-04-30,hold,0.16028388523166204,49
2007-04-30,stop_10,0.1559363769281103,49
2007-04-30,stop_20,0.16131763206372818,49
2007-04-30,stop_30,0.16028388523166204,49
2007-05-31,hold,0.019957176739265736,50
2007-05-31,stop_10,0.025234924226251988,50
2007-05-31,stop_20,0.026066783808263674,50
2007-05-31,stop_30,0.022838890093906335,50
2007-06-29,hold,-0.014474577409235247,50
2007-06-29,stop_10,-0.023165944386729764,50
2007-06-29,stop_20,-0.02326811734611787,50
2007-06-29,stop_30,-0.014474577409235247,50
2007-07-31,hold,0.05150300334186995,49
2007-07-31,stop_10,0.01931456137032041,49
2007-07-31,stop_20,0.03136825330250898,49
2007-07-31,stop_30,0.048465613366533766,49
2007-08-31,hold,0.0033321076287619665,50
2007-08-31,stop_10,0.012664670345702546,50
2007-08-31,stop_20,0.005020275790249069,50
2007-08-31,stop_30,0.004236856756746941,50
2007-09-28,hold,-0.08183537828221919,50
2007-09-28,stop_10,-0.07010567204465186,50
2007-09-28,stop_20,-0.0715936219215644,50
2007-09-28,stop_30,-0.0771502483472608,50
2007-10-31,hold,-0.05995648112501268,50
2007-10-31,stop_10,-0.053552129009250535,50
2007-10-31,stop_20,-0.06344837076848336,50
2007-10-31,stop_30,-0.05924848116414145,50
2007-11-30,hold,-0.014603548270079356,50
2007-11-30,stop_10,-0.007685672470514298,50
2007-11-30,stop_20,-0.013215969474727035,50
2007-11-30,stop_30,-0.014588550237034507,50
2007-12-28,hold,0.08069623040288365,50
2007-12-28,stop_10,0.08705333248394362,50
2007-12-28,stop_20,0.08179063832372263,50
2007-12-28,stop_30,0.08087971664141574,50
2008-01-31,hold,0.08786098512574426,50
2008-01-31,stop_10,0.0934011709312243,50
2008-01-31,stop_20,0.08864857551557982,50
2008-01-31,stop_30,0.08956917017912507,50
2008-02-29,hold,-0.06735754699170644,50
2008-02-29,stop_10,-0.05478917652838153,50
2008-02-29,stop_20,-0.06421447922685558,50
2008-02-29,stop_30,-0.06621619408192035,50
2008-03-31,hold,0.011403099055666773,45
2008-03-31,stop_10,0.00019324403048826235,45
2008-03-31,stop_20,0.008468490764086074,45
2008-03-31,stop_30,0.010674779146767167,45
2008-04-30,hold,0.1059662994087531,46
2008-04-30,stop_10,0.08253749275595422,46
2008-04-30,stop_20,0.07795830897160658,46
2008-04-30,stop_30,0.10671358201744875,46
2008-05-30,hold,-0.015662040657651578,50
2008-05-30,stop_10,-0.0026525990875197825,50
2008-05-30,stop_20,-0.012698165033990485,50
2008-05-30,stop_30,-0.013918925765024242,50
2008-06-30,hold,0.05876252910928148,50
2008-06-30,stop_10,0.005389854838158814,50
2008-06-30,stop_20,0.05469067759208413,50
2008-06-30,stop_30,0.05411092508500393,50
2008-07-31,hold,-0.11910797022106688,50
2008-07-31,stop_10,-0.07559167243984417,50
2008-07-31,stop_20,-0.09671135701447316,50
2008-07-31,stop_30,-0.10771827792954784,50
2008-08-29,hold,-0.08960117427725224,49
2008-08-29,stop_10,-0.10962826002503233,49
2008-08-29,stop_20,-0.09864168182242122,49
2008-08-29,stop_30,-0.07622949659377558,49
2008-09-30,hold,-0.316217912069816,50
2008-09-30,stop_10,-0.15644057627583347,50
2008-09-30,stop_20,-0.23898839125500065,50
2008-09-30,stop_30,-0.3145171142769364,50
2008-10-31,hold,0.07804594664129726,50
2008-10-31,stop_10,0.05303832015775562,50
2008-10-31,stop_20,0.06918060234144771,50
2008-10-31,stop_30,0.07463969664129726,50
2008-11-28,hold,0.010789370752668774,50
2008-11-28,stop_10,0.005349326254414793,50
2008-11-28,stop_20,0.017570827962659578,50
2008-11-28,stop_30,0.008402015529830007,50
2008-12-30,hold,0.06554196403743562,50
2008-12-30,stop_10,0.09953528036429943,50
2008-12-30,stop_20,0.07795692470223876,50
2008-12-30,stop_30,0.06663829007823688,50
2009-01-30,hold,0.27354721501537327,50
2009-01-30,stop_10,0.2956980282787277,50
2009-01-30,stop_20,0.2782179715600157,50
2009-01-30,stop_30,0.2768983776259509,50
2009-02-27,hold,-0.05208796907083317,50
2009-02-27,stop_10,-0.028736428275006113,50
2009-02-27,stop_20,-0.027202078279234376,50
2009-02-27,stop_30,-0.028878989051877166,50
2009-03-31,hold,0.2916249669801113,43
2009-03-31,stop_10,0.2639284204244007,43
2009-03-31,stop_20,0.2938197918810996,43
2009-03-31,stop_30,0.29347276150536017,43
2009-04-30,hold,0.18051532506287038,47
2009-04-30,stop_10,0.182654982657732,47
2009-04-30,stop_20,0.17985065934790548,47
2009-04-30,stop_30,0.18026134872643226,47
2009-05-29,hold,0.018637693919593683,49
2009-05-29,stop_10,0.0491215474370677,49
2009-05-29,stop_20,0.03201489724484637,49
2009-05-29,stop_30,0.02410676530801131,49
2009-06-30,hold,0.01151157230887637,46
2009-06-30,stop_10,0.013958744991425102,46
2009-06-30,stop_20,0.015886248640409165,46
2009-06-30,stop_30,0.002292479288718802,46
2009-07-31,hold,0.026155487811794373,50
2009-07-31,stop_10,0.0512609162249472,50
2009-07-31,stop_20,0.029302895855437914,50
2009-07-31,stop_30,0.014423102435613382,50
2009-08-31,hold,-0.0870611095278796,46
2009-08-31,stop_10,-0.0786260162352469,46
2009-08-31,stop_20,-0.082167012364041,46
2009-08-31,stop_30,-0.07282251188153203,46
2009-09-30,hold,-0.08252001635950432,50
2009-09-30,stop_10,-0.08070900481549062,50
2009-09-30,stop_20,-0.08650745215104169,50
2009-09-30,stop_30,-0.0877096981626872,50
2009-10-30,hold,-0.037806370091718174,48
2009-10-30,stop_10,0.011356277746394675,48
2009-10-30,stop_20,-0.015833939412323673,48
2009-10-30,stop_30,-0.031261504058379894,48
2009-11-30,hold,-0.03585991004147813,50
2009-11-30,stop_10,-0.019386513939543815,50
2009-11-30,stop_20,-0.023975593633538538,50
2009-11-30,stop_30,-0.030762167974152016,50
2009-12-30,hold,-0.1035093442951389,50
2009-12-30,stop_10,-0.06746100099186164,50
2009-12-30,stop_20,-0.09489252710833838,50
2009-12-30,stop_30,-0.10671742744198204,50
2010-01-29,hold,0.010965668445946465,49
2010-01-29,stop_10,0.036830635605365675,49
2010-01-29,stop_20,0.02325353336692141,49
2010-01-29,stop_30,0.019642728954670004,49
2010-02-26,hold,-0.026770831301597384,46
2010-02-26,stop_10,0.00010485086002119368,46
2010-02-26,stop_20,0.009437540646193671,46
2010-02-26,stop_30,-0.027789815146828916,46
2010-03-31,hold,-0.2002707558594887,38
2010-03-31,stop_10,-0.19710544854482676,38
2010-03-31,stop_20,-0.20355671076024698,38
2010-03-31,stop_30,-0.18331926009539895,38
2010-04-30,hold,-0.08405704450751984,45
2010-04-30,stop_10,-0.07841289623470758,45
2010-04-30,stop_20,-0.10739430134823948,45
2010-04-30,stop_30,-0.09663351926654945,45
2010-05-31,hold,0.042997238991551445,50
2010-05-31,stop_10,0.02379010395311216,50
2010-05-31,stop_20,0.024048579639285802,50
2010-05-31,stop_30,0.02726382042720382,50
2010-06-30,hold,0.04541809224809688,50
2010-06-30,stop_10,0.06316846997880596,50
2010-06-30,stop_20,0.04574639138547686,50
2010-06-30,stop_30,0.04156041397488128,50
2010-07-30,hold,-0.019072226231417792,50
2010-07-30,stop_10,0.010860813069361515,50
2010-07-30,stop_20,-0.0026754012774056423,50
2010-07-30,stop_30,-0.012387031855900845,50
2010-08-31,hold,0.041736734210322146,49
2010-08-31,stop_10,0.047634188391079496,49
2010-08-31,stop_20,0.03841875181340302,49
2010-08-31,stop_30,0.03314997935027537,49
2010-09-30,hold,0.03273664965248491,48
2010-09-30,stop_10,0.015023060705813973,48
2010-09-30,stop_20,0.018719580773304583,48
2010-09-30,stop_30,0.034819982985818246,48
2010-10-29,hold,-0.008713665409194306,50
2010-10-29,stop_10,-0.005261714868706178,50
2010-10-29,stop_20,-0.007090888818560775,50
2010-10-29,stop_30,-0.004547656315211375,50
2010-11-30,hold,-0.007927368277712767,49
2010-11-30,stop_10,-0.026169875400852048,49
2010-11-30,stop_20,-0.016310519535462944,49
2010-11-30,stop_30,-0.009778783653926376,49
2010-12-30,hold,0.02697269893894591,50
2010-12-30,stop_10,0.0508104993607405,50
2010-12-30,stop_20,0.03760228759005286,50
2010-12-30,stop_30,0.03007858129188709,50
2011-01-31,hold,-0.028828514846329843,49
2011-01-31,stop_10,-0.006812467869050094,49
2011-01-31,stop_20,-0.01604133814971935,49
2011-01-31,stop_30,-0.02285722290747195,49
2011-02-28,hold,0.023311341093771646,49
2011-02-28,stop_10,0.0027256591791125734,49
2011-02-28,stop_20,0.023497652958651215,49
