date,bucket,rank_ic_12m,n
2013-09-30,1,-0.16677070828331333,50
2013-09-30,2,0.3581632653061224,49
2013-09-30,3,0.13392557022809123,50
2013-10-31,1,-0.1574489795918367,49
2013-10-31,2,-0.03745115067303517,48
2013-10-31,3,-0.11495191207597798,49
2014-02-28,1,0.29743812418584453,48
2014-02-28,2,0.06578376031263569,48
2014-02-28,3,-0.0457012592270951,48
2014-03-31,1,0.34981992797118844,50
2014-03-31,2,0.14489795918367346,49
2014-03-31,3,0.20224489795918366,49
2014-04-30,1,0.3293637454981992,50
2014-04-30,2,-0.015222088835534215,50
2014-04-30,3,0.29421368547418963,50
2014-06-30,1,0.18626650660264102,50
2014-06-30,2,0.04019207683073229,50
2014-06-30,3,0.32168067226890756,50
2014-07-31,1,0.25357466063348416,51
2014-07-31,2,-0.11318127250900359,50
2014-07-31,3,0.1327601809954751,51
2014-09-30,1,0.21229291716686674,50
2014-09-30,2,-0.16438775510204082,49
2014-09-30,3,0.13363745498199278,50
2014-10-31,1,0.12460984393757503,50
2014-10-31,2,-0.21930372148859542,50
2014-10-31,3,-0.1944297719087635,50
2015-03-31,1,0.15402714932126693,51
2015-03-31,2,-0.11321266968325791,51
2015-03-31,3,0.22886877828054294,51
2015-04-30,1,0.010228091236494596,50
2015-04-30,2,0.19731092436974787,50
2015-04-30,3,0.3472268907563025,50
2015-06-30,1,0.10518227610347476,52
2015-06-30,2,0.125586954665756,52
2015-06-30,3,0.20285153248527274,52
2015-07-31,1,0.15922479296508155,52
2015-07-31,2,-0.3426244343891402,51
2015-07-31,3,0.18082472466490224,52
2015-08-31,1,-0.2529411764705882,51
2015-08-31,2,-0.13478991596638654,50
2015-08-31,3,-0.15351740696278512,50
2015-09-30,1,-0.0856108597285068,51
2015-09-30,2,-0.14525810324129654,50
2015-09-30,3,0.0018099547511312216,51
2015-11-30,1,-0.22026807820370525,52
2015-11-30,2,-0.16767694015196788,52
2015-11-30,3,-0.1322462221463331,52
2016-02-29,1,0.07103692952749556,53
2016-02-29,2,-0.059848032101084254,52
2016-02-29,3,0.0736171585228189,53
2016-03-31,1,0.1417513304305757,53
2016-03-31,2,-0.22291471015111414,52
2016-03-31,3,-0.016306667805002988,52
2016-05-31,1,0.03563941299790356,53
2016-05-31,2,-0.06027490822163408,52
2016-05-31,3,0.16853069239306753,52
2016-06-30,1,-0.09724238026124818,53
2016-06-30,2,-0.15956629386152138,52
2016-06-30,3,0.1307094681123538,52
2016-08-31,1,-0.01435252378648605,53
2016-08-31,2,-0.0046102621019380174,52
2016-08-31,3,0.018222867279471054,53
2016-09-30,1,0.24536365102402838,53
2016-09-30,2,-0.134892854093742,52
2016-09-30,3,0.04975004031607805,53
2016-10-31,1,0.2751169166263505,53
2016-10-31,2,-0.05711602492956543,52
2016-10-31,3,0.260479808759498,52
2016-11-30,1,0.02351820087669144,54
2016-11-30,2,-0.0852281890017739,53
2016-11-30,3,-0.1400800457404231,54
2017-01-31,1,0.24262215771649734,53
2017-01-31,2,-0.3978485443524289,52
2017-01-31,3,0.102322206095791,53
2017-02-28,1,0.010863350485991994,54
2017-02-28,2,-0.14441219158200289,53
2017-02-28,3,0.14892759232381875,53
2017-03-31,1,0.09281494187154563,54
2017-03-31,2,-0.24677968840057546,53
2017-03-31,3,-0.15303983228511528,53
2017-05-31,1,0.0705546026300743,54
2017-05-31,2,0.24955652314142882,53
2017-05-31,3,0.24641186905337847,53
2017-06-30,1,0.1340548340548341,55
2017-06-30,2,-0.11000781415785155,54
2017-06-30,3,0.15000000000000002,55
2017-07-31,1,0.05210596531351248,54
2017-07-31,2,-0.006450572488308337,53
2017-07-31,3,0.12437583380979605,54
2017-08-31,1,-0.0676503789711337,53
2017-08-31,2,-0.16810381627251772,52
2017-08-31,3,-0.04096113530075794,53
2017-10-31,1,0.030197351186412518,53
2017-10-31,2,-0.248868778280543,52
2017-10-31,3,0.12183518787292373,53
2017-11-30,1,0.04415584415584416,56
2017-11-30,2,-0.20519480519480524,55
2017-11-30,3,-0.08362193362193364,55
2018-01-31,1,-0.10799726589200274,56
2018-01-31,2,-0.09415584415584417,55
2018-01-31,3,-0.0885850991114149,56
2018-02-28,1,0.2285714285714286,56
2018-02-28,2,-0.014080656185919343,56
2018-02-28,3,-0.3367737525632262,56
2018-04-30,1,-0.05081669691470055,57
2018-04-30,2,-0.31699372887440447,57
2018-04-30,3,-0.18006222452683435,57
2018-05-31,1,0.0808461978273299,54
2018-05-31,2,-0.3252525252525252,54
2018-05-31,3,-0.11728606822946444,54
2018-07-31,1,0.13067150635208713,57
2018-07-31,2,-0.1595799844438683,57
2018-07-31,3,0.03454757583614208,57
2018-08-31,1,0.16958304853041697,56
2018-08-31,2,-0.19152426520847576,56
2018-08-31,3,0.17416267942583735,56
2018-10-31,1,-0.0012315270935960591,57
2018-10-31,2,-0.18712730101114858,57
2018-10-31,3,-0.20735027223230493,57
2018-11-30,1,0.025084262380088155,57
2018-11-30,2,-0.058205859476276905,57
2018-11-30,3,-0.3085299455535391,57
2019-01-31,1,-0.14217361585782637,56
2019-01-31,2,-0.36125541125541133,55
2019-01-31,3,-0.41176788909817463,55
2019-02-28,1,-0.20249776984834972,58
2019-02-28,2,-0.23846253564946854,57
2019-02-28,3,-0.28875080746870097,58
2019-04-30,1,0.11040327293980132,59
2019-04-30,2,-0.06081392845058293,58
2019-04-30,3,0.36095850379894806,59
2019-05-31,1,0.07490233473807253,58
2019-05-31,2,0.12380088151413016,57
2019-05-31,3,0.23571933925989727,58
2019-07-31,1,-0.00017533606078316778,59
2019-07-31,2,-0.013011781352856133,58
2019-07-31,3,0.017183185027915902,59
2019-09-30,1,-0.0637954987496527,60
2019-09-30,2,-0.024395665462628512,60
2019-09-30,3,-0.14348430119477637,60
2019-10-31,1,0.10610578169561836,57
2019-10-31,2,0.026056520611874516,57
2019-10-31,3,-0.17147672216281298,57
2020-01-31,1,0.1892460549386324,59
2020-01-31,2,0.139333722969024,59
2020-01-31,3,0.27668434667399283,59
2020-03-31,1,-0.34751607247223854,59
2020-03-31,2,-0.050087668030391594,59
2020-03-31,3,-0.08106844364773952,59
2020-06-30,1,-0.31069741594887473,60
2020-06-30,2,-0.10888369374634718,59
