date,n,spearman_news_turnover,top_decile_overlap
2012-10-31,141,-0.031087693519714528,0.07142857142857142
2012-11-30,144,0.06199943731499903,0.0
2013-01-31,143,-0.00407110473400106,0.07142857142857142
2013-02-28,142,0.04264657837826266,0.0
2013-04-30,146,-0.00797957723356685,0.07142857142857142
2013-05-31,142,0.057538977729571804,0.07142857142857142
2013-07-31,145,0.024378036421199824,0.0
2013-09-30,149,-0.0724601650150668,0.07142857142857142
2013-10-31,146,-0.015161998409230406,0.0
2014-02-28,144,-0.14528092444151075,0.07142857142857142
2014-03-31,148,-0.01942065017244879,0.07142857142857142
2014-04-30,150,-0.12332760472046482,0.0
2014-06-30,150,0.04955554819208712,0.06666666666666667
2014-07-31,152,0.01860939838544095,0.06666666666666667
2014-09-30,149,0.030020546005071223,0.0
2014-10-31,150,0.025971553048069442,0.06666666666666667
2015-03-31,152,-0.12306136210193196,0.0
2015-04-30,149,-0.02153951875334911,0.0
2015-06-30,155,-0.033639759154534446,0.0
2015-07-31,154,-0.016744812628970023,0.0
2015-08-31,150,0.052404905694378244,0.06666666666666667
2015-09-30,151,-0.0039655215767760744,0.0
2015-11-30,155,-0.15213261737349665,0.0
2016-02-29,157,-0.0377573279561492,0.0
2016-03-31,156,0.03930355555059177,0.06666666666666667
2016-05-31,156,-0.07264530507115026,0.13333333333333333
2016-06-30,156,-0.009852765327694897,0.06666666666666667
2016-08-31,157,-0.15848140107133718,0.06666666666666667
2016-09-30,157,-0.09061529638297788,0.0
2016-10-31,156,-0.17173546953652374,0.0
2016-11-30,160,-0.06565391134979495,0.0
2017-01-31,157,-0.09483402656268963,0.06666666666666667
2017-02-28,159,-0.03250452782076102,0.06666666666666667
2017-03-31,159,-0.01189273661327242,0.06666666666666667
2017-05-31,159,0.010783083623592149,0.06666666666666667
2017-06-30,163,-0.1283498876865117,0.0
2017-07-31,160,-0.03277851702545021,0.0625
2017-08-31,157,-0.0008591785168345363,0.0
2017-10-31,157,-0.0904245752668029,0.0
2017-11-30,165,-0.07745950717761138,0.0
2018-01-31,167,-0.0050328343647258085,0.125
2018-02-28,168,0.08704427564114743,0.0625
2018-04-30,171,-0.09851012449090354,0.0
2018-05-31,162,-0.17435935058319907,0.0625
2018-07-31,171,-0.17639729104435686,0.058823529411764705
2018-08-31,168,-0.08327121630033542,0.0625
2018-10-31,171,-0.06606661675238287,0.058823529411764705
2018-11-30,171,-0.1330677356065966,0.058823529411764705
2019-01-31,166,-0.14252376031099093,0.0625
2019-02-28,173,-0.1559499173248847,0.11764705882352941
2019-04-30,176,-0.06337174364156963,0.058823529411764705
2019-05-31,173,-0.009201019087836531,0.058823529411764705
2019-07-31,176,-0.13276980611362568,0.058823529411764705
2019-09-30,180,-0.13857665235388483,0.05555555555555555
2019-10-31,171,-0.09787413867277142,0.058823529411764705
2020-01-31,177,-0.14910806830741313,0.0
2020-03-31,177,0.0861275597122771,0.0
2020-06-30,179,-0.062213576723204496,0.058823529411764705
2020-07-31,181,-0.10251277101054607,0.0
2020-08-31,181,-0.028928797384978267,0.0
2020-11-30,182,-0.1706408232918551,0.05555555555555555
2021-03-31,184,-0.03387909142081001,0.05555555555555555
2021-04-30,185,-0.1925632708468113,0.0
2021-05-31,186,-0.23530291226047134,0.1111111111111111
2021-06-30,187,-0.2955884193186351,0.0
2021-08-31,188,-0.16948827547851902,0.0
2021-09-30,185,-0.14473914210927227,0.05555555555555555
2021-11-30,182,-0.14822678895958255,0.0
2022-02-28,185,-0.011703057293157893,0.05555555555555555
2022-03-31,191,0.008679020406967448,0.05263157894736842
2022-05-31,194,-0.14590918303186992,0.0
2022-06-30,189,-0.05652394400609023,0.0
2022-08-31,192,-0.17959683419231232,0.05263157894736842
2022-09-30,191,-0.14930450024578032,0.10526315789473684
2022-10-31,195,-0.06759137206208948,0.05263157894736842
2022-11-30,194,-0.0672262669714031,0.10526315789473684
2023-01-31,189,-0.11786555443038207,0.05555555555555555
2023-02-28,190,-0.11697933460513583,0.05263157894736842
2023-03-31,187,-0.02372614293243346,0.0
2023-05-31,192,-0.07769499751005572,0.05263157894736842
2023-06-30,189,-0.09356023687632131,0.0
2023-07-31,189,-0.1752393526638532,0.0
2023-08-31,187,-0.11679621516994759,0.0
2023-10-31,189,-0.0491648641295619,0.0
2023-11-30,190,-0.11030002923297094,0.0
2024-01-31,189,-0.13240652581730442,0.0
2024-02-29,190,0.09949418537455222,0.0
2024-04-30,186,0.020222509716050923,0.05555555555555555
2024-05-31,194,0.016131678267930157,0.0
2024-07-31,195,0.0063059383911251085,0.05263157894736842
2024-09-30,197,-0.05733454093012552,0.05263157894736842
2024-10-31,195,0.013218394259029683,0.0
2025-01-31,195,0.01243813686910583,0.10526315789473684
2025-02-28,199,-0.02177668132040666,0.0
2025-03-31,200,0.004536876957339393,0.05
2025-04-30,200,0.02867177853208465,0.05
