date,path,return,holdings,banned_share
2005-04-29,expand,0.05099606645237197,22,0.4184445973847213
2005-05-31,contract,0.05969380008500881,28,0.2474155754651964
2005-05-31,expand,0.05704680951487649,23,0.41212956581667815
2005-06-30,contract,0.08480824936461162,26,0.24639670555936857
2005-06-30,expand,0.09784535559826478,19,0.4104323953328758
2005-07-29,contract,-0.012045860006672586,30,0.24656593406593408
2005-07-29,expand,-0.012434972702769007,24,0.4107142857142857
2005-08-31,contract,0.13151702221904304,27,0.24795081967213115
2005-08-31,expand,0.1399189056026384,17,0.412568306010929
2005-09-30,contract,-0.016665326399313684,29,0.24660326086956522
2005-09-30,expand,-0.02157561851718486,23,0.41032608695652173
2005-10-31,contract,0.14616689743391742,30,0.2456021650879567
2005-10-31,expand,0.12878383205656724,22,0.40866035182679294
2005-11-30,contract,0.016112608506224042,30,0.24813559322033898
2005-11-30,expand,0.014387389583266682,28,0.4128813559322034
2005-12-29,contract,-0.014964779788090084,29,0.24898236092265943
2005-12-29,expand,-0.0024164825034840255,25,0.4151967435549525
2006-01-31,contract,-0.005626765912661121,30,0.2510148849797023
2006-01-31,expand,0.00020946766792123242,24,0.4174560216508796
2006-02-28,contract,0.015050398875070517,29,0.25101214574898784
2006-02-28,expand,0.01685586455257561,23,0.4176788124156545
2006-03-31,contract,0.014439193173102953,28,0.249665327978581
2006-03-31,expand,0.016713049929196803,25,0.41566265060240964
2006-04-28,contract,-0.06840343796144517,29,0.24883255503669113
2006-04-28,expand,-0.0694828641521128,23,0.4149432955303536
2006-05-30,contract,-0.04132651857258303,26,0.24866666666666667
2006-05-30,expand,-0.021097254375739425,18,0.4146666666666667
2006-06-30,contract,-0.031212552049665585,29,0.24735449735449735
2006-06-30,expand,-0.041076806455346795,24,0.41203703703703703
2006-07-31,contract,0.08158566779623931,29,0.24753127057274524
2006-07-31,expand,0.06351005199130871,22,0.412771560236998
2006-08-31,contract,0.0384216587003314,29,0.24625407166123778
2006-08-31,expand,0.04051422759556118,27,0.41042345276872966
2006-09-29,contract,0.011897137287465566,27,0.24626380766731643
2006-09-29,expand,0.012550565413058424,22,0.4106562703053931
2006-10-31,contract,0.0593201981191112,28,0.24627349319507452
2006-10-31,expand,0.0528423138475582,24,0.4102397926117952
2006-11-30,contract,-0.007990183069897157,29,0.24660194174757283
2006-11-30,expand,-0.006587598899112025,24,0.4110032362459547
2006-12-28,contract,-0.03728995363004791,26,0.2475759534583064
